Date,Temperature,Humidity,Windspeed,Visibility,Weather Type
2015-09-15 09:00:00,13,77,29,5,266
2015-09-15 10:00:00,14,77,30,4,266
2015-09-15 11:00:00,15,76,32,3,266
2015-09-15 12:00:00,16,75,33,2,266
2015-09-15 13:00:00,17,73,32,4,266
2015-09-15 14:00:00,18,70,31,6,119
2015-09-15 15:00:00,18,67,30,7,119
2015-09-15 16:00:00,18,66,26,8,119
2015-09-15 17:00:00,17,66,22,9,113
2015-09-15 18:00:00,17,65,19,10,113
2015-09-15 19:00:00,16,67,17,10,113
2015-09-15 20:00:00,14,69,14,10,113
2015-09-15 21:00:00,13,71,12,10,113
2015-09-15 22:00:00,13,74,12,8,113
2015-09-15 23:00:00,13,78,12,6,266
2015-09-16 00:00:00,12,82,13,5,266
2015-09-16 01:00:00,13,85,13,5,266
2015-09-16 02:00:00,13,88,13,6,296
2015-09-16 03:00:00,13,92,13,7,296
2015-09-16 04:00:00,13,93,13,7,296
2015-09-16 05:00:00,13,94,13,8,296
2015-09-16 06:00:00,13,96,13,9,296
2015-09-16 07:00:00,13,94,13,9,296
2015-09-16 08:00:00,14,93,14,9,353
2015-09-16 09:00:00,15,92,14,10,353
2015-09-16 10:00:00,16,92,16,10,353
2015-09-16 11:00:00,17,91,18,10,353
2015-09-16 12:00:00,19,91,19,10,353
2015-09-16 13:00:00,19,92,20,9,353
2015-09-16 14:00:00,19,92,21,9,302
2015-09-16 15:00:00,19,93,22,8,302
2015-09-16 16:00:00,18,91,21,8,302
2015-09-16 17:00:00,18,89,20,8,176
2015-09-16 18:00:00,17,88,19,8,176
2015-09-16 19:00:00,17,86,20,9,176
2015-09-16 20:00:00,16,85,21,9,353
2015-09-16 21:00:00,16,83,22,10,353
2015-09-16 22:00:00,16,82,23,10,353
2015-09-16 23:00:00,16,81,24,10,122
2015-09-17 00:00:00,16,81,25,10,122
2015-09-17 01:00:00,15,80,25,10,122
2015-09-17 02:00:00,15,80,25,10,122
2015-09-17 03:00:00,15,79,25,10,122
2015-09-17 04:00:00,14,79,24,10,122
2015-09-17 05:00:00,14,79,24,10,176
2015-09-17 06:00:00,14,79,23,10,176
2015-09-17 07:00:00,14,80,22,8,176
2015-09-17 08:00:00,14,81,21,6,266
2015-09-17 09:00:00,14,81,21,5,266
2015-09-17 10:00:00,14,84,21,6,266
2015-09-17 11:00:00,14,86,21,6,353
2015-09-17 12:00:00,14,88,21,7,353
2015-09-17 13:00:00,14,80,20,8,353
2015-09-17 14:00:00,14,72,19,9,113
2015-09-17 15:00:00,14,64,19,10,113
2015-09-17 16:00:00,14,64,18,10,113
2015-09-17 17:00:00,14,64,16,10,113
2015-09-17 18:00:00,14,65,15,10,113
2015-09-17 19:00:00,13,69,15,10,113
2015-09-17 20:00:00,13,74,14,10,113
2015-09-17 21:00:00,12,79,13,10,113
2015-09-17 22:00:00,12,82,13,10,113
2015-09-17 23:00:00,12,86,12,10,113
2015-09-18 00:00:00,11,89,12,10,113
2015-09-18 01:00:00,11,90,12,10,113
2015-09-18 02:00:00,11,91,12,10,113
2015-09-18 03:00:00,11,92,12,10,113
2015-09-18 04:00:00,11,92,12,10,113
2015-09-18 05:00:00,11,92,13,10,113
2015-09-18 06:00:00,11,91,14,10,113
2015-09-18 07:00:00,12,87,16,10,113
2015-09-18 08:00:00,13,82,17,10,116
2015-09-18 09:00:00,15,78,19,10,116
2015-09-18 10:00:00,16,75,20,10,116
2015-09-18 11:00:00,17,72,21,10,353
2015-09-18 12:00:00,18,69,22,10,353
2015-09-18 13:00:00,18,68,21,10,353
2015-09-18 14:00:00,19,66,20,10,353
2015-09-18 15:00:00,19,64,19,10,353
2015-09-18 16:00:00,19,70,17,10,353
2015-09-18 17:00:00,18,75,14,10,353
2015-09-18 18:00:00,18,80,12,10,353
2015-09-18 19:00:00,16,85,11,8,353
2015-09-18 20:00:00,15,89,10,6,143
2015-09-18 21:00:00,14,93,9,5,143
2015-09-18 22:00:00,13,94,9,3,143
2015-09-18 23:00:00,12,95,9,2,248
2015-09-19 00:00:00,11,97,9,1,248
2015-09-19 01:00:00,11,97,9,0,248
2015-09-19 02:00:00,10,97,9,0,248
2015-09-19 03:00:00,10,97,9,0,248
2015-09-19 04:00:00,10,97,8,0,248
2015-09-19 05:00:00,11,97,8,0,248
2015-09-19 06:00:00,11,98,8,0,248
2015-09-19 07:00:00,13,91,10,2,248
2015-09-19 08:00:00,14,85,12,4,176
2015-09-19 09:00:00,16,79,13,7,176
2015-09-19 10:00:00,17,76,15,8,176
2015-09-19 11:00:00,18,72,17,9,353
2015-09-19 12:00:00,19,68,19,10,353
2015-09-19 13:00:00,19,66,19,10,353
2015-09-19 14:00:00,19,64,19,10,176
2015-09-19 15:00:00,19,62,19,10,176
2015-09-19 16:00:00,18,67,17,10,176
2015-09-19 17:00:00,18,71,15,10,113
2015-09-19 18:00:00,17,76,13,10,113
2015-09-19 19:00:00,15,81,11,8,113
2015-09-19 20:00:00,14,87,9,6,143
2015-09-19 21:00:00,13,92,8,5,143
2015-09-19 22:00:00,12,93,7,4,143
2015-09-19 23:00:00,11,94,7,3,143
2015-09-20 00:00:00,10,95,6,2,143
2015-09-20 01:00:00,10,95,6,2,143
2015-09-20 02:00:00,9,95,6,2,143
2015-09-20 03:00:00,9,94,6,2,143
2015-09-20 04:00:00,9,94,6,4,143
2015-09-20 05:00:00,9,94,6,6,116
2015-09-20 06:00:00,9,94,6,7,116
2015-09-20 07:00:00,10,87,6,8,116
2015-09-20 08:00:00,10,80,5,9,113
2015-09-20 09:00:00,11,74,5,10,113
2015-09-20 10:00:00,12,67,6,10,113
2015-09-20 11:00:00,14,61,7,10,119
2015-09-20 12:00:00,15,54,8,10,119
2015-09-20 13:00:00,16,53,8,10,119
2015-09-20 14:00:00,16,52,8,10,176
2015-09-20 15:00:00,17,51,8,10,176
2015-09-20 16:00:00,16,57,6,10,176
2015-09-20 17:00:00,15,64,5,10,113
2015-09-20 18:00:00,15,71,4,10,113
2015-09-20 19:00:00,14,76,3,10,113
2015-09-20 20:00:00,14,82,3,10,113
2015-09-20 21:00:00,13,88,3,10,113
2015-09-20 22:00:00,12,90,4,10,113
2015-09-20 23:00:00,12,92,5,10,113
2015-09-21 00:00:00,11,93,6,10,113
2015-09-21 01:00:00,10,93,7,10,113
2015-09-21 02:00:00,10,93,8,10,113
2015-09-21 03:00:00,9,92,9,10,113
2015-09-21 04:00:00,9,92,9,10,113
2015-09-21 05:00:00,9,92,10,10,113
