"collection1"
"match_type.text","match_type.src","match_type.alt","home.text","home.href","away","datum","score"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","KAA Gent","","R Excel Mouscron","12-02-2016 - 20:30
Uitverkocht","2 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-championsleague.png","Champions League knock-out fase","KAA Gent","","VfL Wolfsburg","17-02-2016 - 20:45
Uitverkocht","2 - 3"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","KV Oostende","http://www.kaagent.be/nl/team/games/jupiler-pro-league-2015-2016/all/kv-oostende","KAA Gent","21-02-2016 - 14:30","5 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","KAA Gent","","KSC Lokeren OV","26-02-2016 - 20:30
Uitverkocht","3 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","KAA Gent","","OH Leuven","04-03-2016 - 20:30
Uitverkocht","1 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-championsleague.png","Champions League knock-out fase","VfL Wolfsburg","http://www.kaagent.be/nl/team/games/champions-league-knock-out-fase/all/vfl-wolfsburg","KAA Gent","08-03-2016 - 20:45","1 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Jupiler Pro League","R Charleroi SC","http://www.kaagent.be/nl/team/games/jupiler-pro-league-2015-2016/all/r-charleroi-sc","KAA Gent","13-03-2016 - 18:00","1 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Play Off 1","KAA Gent","","SV Zulte-Waregem","01-04-2016 - 20:30","1 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Play Off 1","Club Brugge KV","http://www.kaagent.be/nl/team/games/play-off-1-2015-2016/all/club-brugge-kv","KAA Gent","09-04-2016 - 18:00","2 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Play Off 1","KAA Gent","","KV Oostende","15-04-2016 - 20:30
Uitverkocht","2 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Play Off 1","KAA Gent","","RSC Anderlecht","21-04-2016 - 20:30
Uitverkocht","1 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Play Off 1","KRC Genk","http://www.kaagent.be/nl/team/games/play-off-1-2015-2016/all/krc-genk","KAA Gent","24-04-2016 - 20:30","1 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Play Off 1","RSC Anderlecht","http://www.kaagent.be/nl/team/games/play-off-1-2015-2016/all/rsc-anderlecht","KAA Gent","01-05-2016 - 14:30","2 - 0"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Play Off 1","KAA Gent","","Club Brugge KV","08-05-2016 - 18:00
Uitverkocht","1 - 4"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Play Off 1","SV Zulte-Waregem","http://www.kaagent.be/nl/team/games/play-off-1-2015-2016/all/sv-zulte-waregem","KAA Gent","15-05-2016 - 18:00","4 - 2"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Play Off 1","KV Oostende","http://www.kaagent.be/nl/team/games/play-off-1-2015-2016/all/kv-oostende","KAA Gent","19-05-2016 - 20:30","0 - 1"
"","http://cms.kaagent.be/uploads/leagues/logo/icon-jupilerleague.png","Play Off 1","KAA Gent","","KRC Genk","22-05-2016 - 14:30
Uitverkocht","0 - 0"

